,"Q34_Are you doing other things at home to learn, aside from radio lessons?",Q35_What are you doing?
3463,Yes,Reading package
3464,No,
3465,Yes,Reading P6 notes because mine for P7 was stolen
3466,,
3467,No,
3468,,
3469,Yes,Reversing notes
3470,,
3471,Yes,Reversing notes
3472,,
3473,Yes,Reading writen notes from school.
3474,No,
3475,Yes,Reading more notes on science subjects.
3476,,
3477,Yes,Reading her notes at home
3478,Yes,Reading textbooks
3479,Yes,Reading text books and notes.
3480,,
3481,Yes,He reads textbooks and notes
3482,Yes,Reading notes 
3483,,
3484,,
3485,Yes,She studies at home during coronas so that she wants to keep her knowledge fresh once schools are reopen she would have not loss her knowledge.
3486,,
3487,,
3488,Yes,She thought that schools will one time reopen and she wanted to keep her knowledge fresh no to loss any thing that the teachers have taught for her from school.
3489,,
3490,,
3491,,
3492,,
3493,,
3494,,
3495,,
3496,,
3497,,
3498,,
3499,,
3500,,
3501,Yes,Group discussion and reading textbooks plus practice exercise
3502,Yes,Revise my note
3503,Yes,Group discussion and revision exercises
3504,No,
3505,No,
3506,No,
3507,,
3508,,
3509,Yes,Revise my old notes
3510,,
3511,,
3512,Yes,Revise my old notes
3513,,
3514,,
3515,,
3516,Yes,Reading textbooks
3517,Yes,Reading textbooks
3518,,
3519,No,
3520,No,
3521,No,
3522,No,
3523,,
3524,,
3525,No,
3526,No,
3527,No,
3528,No,
3529,No,
3530,Yes,Revised books and notes she had previously
3531,,
3532,No,
3533,,
3534,No,
3535,,
3536,,
3537,,
3538,,
3539,No,
3540,Yes,Reading notes books
3541,,
3542,,
3543,,
3544,,
3545,,
3546,Yes,Reading books
3547,Yes,Reading notes books
3548,Yes,Notes books
3549,Yes,Notes books
3550,Yes,Reading my books
3551,Yes,Reading books
3552,Yes,Reading books
3553,Yes,Reading books
3554,Yes,Reading books
3555,Yes,Reading notes
3556,Yes,Note reading
3557,Yes,Reading books
3558,Yes,I'm revising the notes given by teachers
3559,Yes,Reading my notes books
3560,Yes,We are discussing with my sisters our holiday package during this pandamic period
3561,,
3562,,
3563,Yes,Revising notes
3564,No,
3565,,
3566,,
3567,No,
3568,No,
3569,No,
3570,No,
3571,No,
3572,No,
3573,No,
3574,Yes,Holiday package
3575,Yes,Father uses to teach me at home.
3576,Yes,We read some books with my class mate
3577,Yes,I uses to make revisions on my previous notes. Readings some textbooks from my friends
3578,,
3579,Yes,Reading my notes
3580,Yes,Read some textbooks and revised my notes
3581,Yes,Revising the few notes that I have 
3582,No,
3583,No,
3584,,
3585,Yes,"Mustering alphabets both capital and small letters.
Revised my notes"
3586,Yes,Revising and practice the lessons learned
3587,Yes,Revising my notes
3588,Yes,I uses to revised my notes taught in school
3589,Yes,"Reading CRE,English and Science"
3590,Yes,"Read my notes of English,science and social study"
3591,Yes,"Read English,CRE and science"
3592,Yes,Revising all my notes books
3593,No,
3594,,
3595,,
3596,,
3597,,
3598,,
3599,,
3600,,
3601,,
3602,,
3603,,
3604,,
3605,,
3606,,
3607,,
3608,,
3609,,
3610,,
3611,,
3612,Yes,Holiday package
3613,Yes,Reading notes
3614,,
3615,Yes,Practicing Mathematics
3616,Yes,Reading holy day package.
3617,Yes,Holiday package
3618,,
3619,Yes,Reading and Making revision on what has been taught to her.
3620,,
3621,Yes,Reading notes 
3622,Yes,Reading notes.
3623,Yes,Revising
3624,,
3625,,
3626,No,
3627,,
3628,,
3629,,
3630,No,
3631,Yes,Sometimes our school do give us take home packages to keep us busy at home
3632,Yes,I do study at my free time
3633,Yes,Studying with my friends and sharing Questions amongst ourselves
3634,Yes,We are given a holiday package for learning from home
3635,Yes,We are studying and discuss with my brother and younger sister
3636,,
3637,,
3638,,
3639,Yes,Reading text books
3640,,
3641,Yes,Reading text
3642,Yes,Reading
3643,Yes,Reading
3644,No,
3645,Yes,Reading
3646,No,
3647,Yes,At times due to garden work
3648,No,
3649,No,
3650,No,
3651,Yes,Reading
3652,Yes,Reading books at time
3653,,
3654,,
3655,,
3656,,
3657,,
3658,No,
3659,,
3660,No,
3661,,
3662,No,
3663,No,
3664,No,
3665,No,
3666,No,
3667,No,
3668,,
3669,,
3670,No,
3671,No,
3672,,
3673,No,
3674,No,
3675,Yes,Study packets
3676,No,
3677,,
3678,,
3679,,
3680,Yes,Reading notes given by my teacher.
3681,Yes,I revise my books
3682,Yes,Holiday package
3683,No,
3684,,
3685,,
3686,Yes,Personal revision only. 
3687,Yes,"Doing my personal studies, reading some text books. "
3688,Yes,"Private teachings, and my own revision during my private time. "
3689,Yes,"Self learning, reading my own text books and also revising my notes. "
3690,Yes,"Personal revision, and reading other text books during my private time. "
3691,Yes,Some times I can read some text books and also revise my note books just to keep my self busy. 
3692,Yes,Practising my study packets
3693,No,
3694,No,
3695,No,
3696,No,
3697,No,
3698,No,
3699,No,
3700,No,
3701,No,
3702,,
3703,No,
3704,No,
3705,No,
3706,No,
3707,No,
3708,,
3709,,
3710,Yes,Reading textbooks
3711,Yes,Reading
3712,Yes,Reading
3713,Yes,Reading
3714,Yes,Reading
3715,Yes,Reading
3716,Yes,Reading
3717,No,
3718,Yes,Reading
3719,Yes,Reading
3720,Yes,Reading
3721,Yes,Reading
3722,Yes,Reading
3723,Yes,Reading
3724,Yes,Reading
3725,Yes,Reading
3726,Yes,Reading
3727,Yes,Reading
3728,,
3729,,
3730,,
3731,,
3732,,
3733,,
3734,,
3735,,
3736,,
3737,,
3738,Yes,Reviewing her books
3739,Yes,Reading notes.
3740,,
3741,Yes,Reading his notes 
3742,,
3743,No,
3744,Yes,Reading notes
3745,,
3746,Yes,Home work
3747,,
3748,Yes,Cooking
3749,,
3750,Yes,Home work
3751,Yes,Reading
3752,,
3753,,
3754,Yes,I have collected holiday package to keep me busy at home
3755,,
3756,,
3757,Yes,Holiday package keeping me busy studying at home
3758,No,
3759,No,
3760,No,
3761,,
3762,Yes,Revise my books.
3763,No,
3764,,
3765,Yes,Reading textbooks.
3766,Yes,Holiday package 
3767,Yes,Reading books 
3768,No,
3769,,
3770,,
3771,,
3772,No,
3773,Yes,Reading
3774,Yes,Studying science subjects
3775,,
3776,No,
3777,Yes,Revising notes
3778,Yes,Reading my text books
3779,,
3780,,
3781,,
3782,,
3783,,
3784,,
3785,No,
3786,No,
3787,No,
3788,No,
3789,No,
3790,Yes,Reading
3791,Yes,Reading
3792,No,
3793,Yes,Reading
3794,Yes,Business and reading
3795,No,
3796,No,
3797,No,
3798,No,
3799,No,
3800,No,
3801,No,
3802,,
3803,,
3804,,
3805,,
3806,,
3807,,
3808,,
3809,,
3810,,
3811,No,
3812,,
3813,,
3814,Yes,Reading her notes
3815,Yes,Reading his holydays package
3816,No,
3817,Yes,Reading notes
3818,,
3819,No,
3820,Yes,Books 
3821,,
3822,Yes,Reading the books and my holiday packages
3823,,
3824,,
3825,,
3826,Yes,Because am always engaged with domestic work
3827,Yes,We have a teacher at home teaching us daily with my friends
3828,Yes,I have text books at home I do study sometime
3829,Yes,We are given holiday package to at home
3830,Yes,Reading some books and notes
3831,Yes,Doing practice on the notes taken in school. Reading some texts books borrowed from friend.
3832,No,
3833,Yes,I uses to reading English book Mathematics.
3834,Yes,Reading some books
3835,Yes,Reading my notes and books
3836,Yes,Self learning.
3837,Yes,Revising some notes and reading books
3838,Yes,"Reading Bible.
Reading some notes and text books."
3839,Yes,Practice on my notes and text books
3840,Yes,Reading my books and notes
3841,Yes,Reading some books and notes.
3842,,
3843,Yes,Reading some books and notes
3844,,
3845,,
3846,,
3847,,
3848,,
3849,No,
3850,Yes,Holiday package
3851,,
3852,Yes,Study holiday package
3853,Yes,Reading Books
3854,,
3855,,
3856,Yes,We do revised our previous lessons
3857,,
3858,Yes,Personal studies. 
3859,Yes,Personal revision. 
3860,Yes,Doing personal studies from my exercise book. 
3861,Yes,Doing my own personal revision. 
3862,Yes,I do my personal revision and reading also other text books. 
3863,,
3864,No,
3865,,
3866,,
3867,No,
3868,Yes,Am studying and revising my books during my free time
3869,Yes,Reading home packages
3870,,
3871,Yes,Reading holiday packages
3872,Yes,"Learning domestic work, Reading Notes Books, Used holiday packages"
3873,No,
3874,Yes,Nothing
3875,,
3876,,
3877,Yes,Self learning/ studies
3878,No,
3879,,
3880,Yes,Doing personal revisions.
3881,,
3882,Yes,Revising my note books during my private time.
3883,No,
3884,,
3885,Yes,I study all my notes which I was having from the school.
3886,Yes,Only studying my notes.
3887,,
3888,Yes,Doing only personal revisions in my previous notes.
3889,No,
3890,Yes,Personal studies in my note books.
3891,Yes,Personal revisions from my school exercise.
3892,Yes,Personal studies.
3893,No,
3894,,
3895,Yes,Studying my previous notes
3896,Yes,Own personal studies.
3897,,
3898,Yes,I do study my old notes from the school.
3899,Yes,Revising my old notes
3900,No,
3901,No,
3902,No,
3903,No,
3904,,
3905,,
3906,,
3907,,
3908,No,
3909,,
3910,,
3911,,
3912,,
3913,,
3914,,
3915,,
3916,,
3917,,
3918,,
3919,,
3920,,
3921,,
3922,,
3923,,
3924,,
3925,,
3926,,
3927,,
3928,,
3929,,
3930,,
3931,,
3932,,
3933,,
3934,,
3935,,
3936,,
3937,,
3938,,
3939,,
3940,Yes,Holiday package
3941,,
3942,Yes,Read notes
3943,No,
3944,Yes,Holiday package
3945,,
3946,Yes,Holiday package
3947,,
3948,No,
3949,,
3950,,
3951,Yes,Group discussion
3952,Yes,Group discussion
3953,Yes,Reading books at night
3954,Yes,To acquit herself with the lessons taught by her teachers in class.
3955,Yes,Reading of books
3956,No,
3957,,
3958,Yes,Reading what was taught
3959,,
3960,No,
3961,No,
3962,,
3963,,
3964,,
3965,,
3966,,
3967,,
3968,,
3969,,
3970,,
3971,,
3972,,
3973,,
3974,,
3975,,
3976,,
3977,,
3978,Yes,Build up their memory when schools are reopen they would have some thing in the brain 
3979,,
3980,,
3981,,
3982,Yes,Reading my notes book
3983,Yes,Revising Note books
3984,No,
3985,Yes,Sometimes revising my notes
3986,No,
3987,,
3988,,
3989,,
3990,,
3991,,
3992,,
3993,Yes,To make memorise what has been taught by their teachers and she has hope that schools will one time be reopen and she go back to school.
3994,,
3995,,
3996,,
3997,,
3998,,
3999,,
4000,,
4001,Yes,Revising the notes he have.
4002,Yes,Reading notes taught in school
4003,Yes,Reading holiday packages
4004,Yes,Reading notes taught at school.
4005,,
4006,,
4007,,
4008,No,
4009,,
4010,,
4011,Yes,Face book 
4012,Yes,Revising.book
4013,Yes,Group study 
4014,,
4015,,
4016,,
4017,No,
4018,No,
4019,Yes,Sometime I do studies my book at home with other friends
4020,No,
4021,Yes,We discussing and studying at home with my elder brother
4022,Yes,Revision and self assessment through studies package
4023,,
4024,,
4025,,
4026,,
4027,,
4028,,
4029,Yes,I am reading on my own. 
4030,,
4031,Yes,Reading at home because the principle of the school gave our materials to read and answer 
4032,,
4033,Yes,We were given questions to answer 
4034,,
4035,,
4036,Yes,We read when we have no work at home 
4037,,
4038,No,
4039,No,
4040,,
4041,Yes,I write and read
4042,Yes,I just reads books
4043,,
4044,Yes,I do revised my previous lesson
4045,,
4046,Yes,I do revised my previous lessons
4047,Yes,I read my notes
4048,Yes,Reading notes
4049,Yes,"Exercise books,"
4050,No,
4051,Yes,Coaching
4052,,
4053,,
4054,,
4055,Yes,Reading in book
4056,No,
4057,,
4058,,
4059,Yes,Revising my work
4060,No,
4061,Yes,Reading my study package
4062,,
4063,,
4064,Yes,I use study packets for revision
4065,,
4066,,
4067,No,
4068,No,
4069,No,
4070,,
4071,No,
4072,Yes,Reading notes
4073,,
4074,No,
4075,No,
4076,Yes,Text books
4077,,
4078,No,
4079,Yes,I stopped reading because of over staying without going to school
4080,,
4081,,
4082,,
4083,,
4084,,
4085,,
4086,,
4087,,
4088,,
4089,,
4090,No,
4091,,
4092,,
4093,Yes,I only revised my previous lesson once
4094,Yes,I do read bible verses
4095,Yes,I do revised my previous lesson
4096,,
4097,Yes,Coaching
4098,,
4099,Yes,Revision
4100,,
4101,Yes,Holiday package
4102,,
4103,Yes,Revision 
4104,No,
4105,No,
4106,,
4107,Yes,Revision 
4108,,
4109,No,
4110,Yes,Reading 
4111,Yes,Reading
4112,Yes,We move to a near by home to read
4113,Yes,Yes I read 
4114,Yes,Reading exercise book
4115,No,
4116,Yes,Revision of notes
4117,No,
4118,Yes,Revision 
4119,Yes,I was reading the few notes taught before closure of schools.
4120,Yes,"Reading books, Assignment from schools"
4121,Yes,Revised all the five subjects.
4122,Yes,Reading my books
4123,No,
4124,Yes,Reading all the five subjects.
4125,,
4126,,
4127,,
4128,,
4129,,
4130,Yes,Devising my books 
4131,Yes,Reading text books
4132,Yes,Reading
4133,Yes,I revise my books
4134,Yes,Reading
4135,Yes,Reading
4136,Yes,Reading
4137,Yes,Reading
4138,Yes,Reading
4139,No,
4140,Yes,Reading
4141,No,
4142,No,
4143,No,
4144,Yes,Reading
4145,Yes,Reading
4146,,
4147,,
4148,,
4149,,
4150,,
4151,,
4152,,
4153,Yes,So that I don't have to forget what was taught to me.
4154,Yes,Reading
4155,Yes,Reading books 
4156,Yes,Reading
4157,,
4158,No,
4159,Yes,I do revised my previous lessons
4160,,
4161,Yes,Our teachers come to our house and teach me
4162,Yes,Reverse my previous lesson
4163,Yes,I do revised my previous lessons
4164,,
4165,,
4166,,
4167,Yes,Reading notes
4168,Yes,Reading notes
4169,Yes,Revising his notes from school.
4170,Yes,Reading notes he copied in school.
4171,,
4172,,
4173,Yes,Reading notes from school.
4174,,
4175,,
4176,,
4177,No,
4178,,
4179,Yes,Reading the book and my holiday package
4180,Yes,Learning new things through group discussion and revising my books
4181,,
4182,No,
4183,Yes,I use to read my books
4184,,
4185,No,
4186,Yes,The school have given us holiday package for studies at home so most time am studying
4187,Yes,We are revising our books with my siblings at home
4188,No,
4189,,
4190,,
4191,Yes,We are studying with my sisters
4192,Yes,Reading my holiday packages
4193,Yes,Reading packages
4194,Yes,Reading previous notes
4195,No,
4196,,
4197,,
4198,Yes,Reading my books and packages from the school.
4199,,
4200,No,
4201,Yes,Revision
4202,Yes,Ex- books 
4203,,
4204,Yes,Practice Maths lesson
4205,,
4206,,
4207,,
4208,,
4209,,
4210,,
4211,,
4212,,
4213,,
4214,,
4215,,
4216,,
4217,,
4218,,
4219,,
4220,,
4221,,
4222,,
4223,,
4224,,
4225,,
4226,,
4227,,
4228,,
4229,,
4230,,
4231,,
4232,,
4233,,
4234,,
4235,,
4236,,
4237,,
4238,,
4239,,
4240,,
4241,,
4242,Yes,Books
4243,Yes,Reading her notes from school.
4244,Yes,Reading notes
4245,Yes,Revising taught lessons
4246,,
4247,,
4248,No,
4249,,
4250,Yes,Text books where given to us by the teachers
4251,,
4252,,
4253,,
4254,,
4255,,
4256,Yes,Helping my siblings. Revising exercises of last year 
4257,Yes,Revising my exercise books 
4258,,
4259,Yes,I have been reading 
4260,Yes,Reading my notes 
4261,,
4262,Yes,Too much work because I am the only girl at home and no body to help me while studying
4263,,
4264,,
4265,,
4266,Yes,Reading only
4267,No,
4268,Yes,I revise my notes and only one book for CRE
4269,Yes,Text book 
4270,Yes,Notes and text books for science 
4271,Yes,I have text books
4272,Yes,Very little 
4273,Yes,Reading 
4274,No,
4275,,
4276,,
4277,Yes,I reverse my previous lessons
4278,Yes,I do revised my previous lessons
4279,,
4280,Yes,I do my previous maths lesson
4281,Yes,I revise my previous lessons
4282,,
4283,,
4284,Yes,Reading her holiday packages given by school.
4285,,
4286,Yes,Reading holiday packages given by the school.
4287,Yes,Reading holiday packages and answering questions .
4288,Yes,Doing holiday package
4289,,
4290,Yes,Read books
4291,Yes,Reverse notes
4292,No,
4293,,
4294,Yes,Reading text book
4295,No,
4296,,
4297,No,
4298,,
4299,Yes,Holiday package
4300,No,
4301,No,
4302,No,
4303,,
4304,,
4305,Yes,Reading the books
4306,Yes,Reading other materials for example past papers and text books
4307,Yes,Reading from other books
4308,Yes,Reading my books
4309,,
4310,No,
4311,,
4312,,
4313,,
4314,Yes,We are studying at home and practising Mathematics with my friends and colleagues
4315,Yes,Am revising my books and the notes I took from school
4316,No,
4317,Yes,We have collected holiday package
4318,Yes,Studying from my books
4319,,
4320,,
4321,Yes,Revision
4322,,
4323,No,
4324,,
4325,Yes,Holiday package 
4326,,
4327,,
4328,,
4329,,
4330,,
4331,,
4332,,
4333,,
4334,,
4335,Yes,Garden work
4336,No,
4337,Yes,Garden work
4338,Yes,Reading
4339,Yes,Garden work
4340,No,
4341,No,
4342,Yes,Reading book
4343,Yes,Reading text
4344,No,
4345,Yes,Reading after work
4346,Yes,Reading 
4347,Yes,Reading
4348,Yes,Reading
4349,Yes,Revision
4350,Yes,Reading 
4351,Yes,Reading 
4352,Yes,Reading
4353,,
4354,No,
4355,Yes,Reading from tables and text books.
4356,Yes,Reading my books
4357,Yes,Read only my exercises books 
4358,No,
4359,,
4360,,
4361,Yes,Notes on exercise books
4362,Yes,Books
4363,Yes,"Work, reading and revise the notes and  packages."
4364,,
4365,Yes,Reading my packages
4366,No,
4367,,
4368,No,
4369,Yes,Reading my previous notes
4370,,
4371,,
4372,Yes,Revise books.
4373,Yes,Reading notes
4374,,
4375,Yes,I read other books
4376,Yes,Revise previous notes
4377,,
4378,,
4379,Yes,We are given holiday package for assessment exams so most time we are committed in studies with my sister
4380,Yes,Revising my books and text books sometime
4381,Yes,We were given holiday package twice for first and second term assessment in preparation of next year promotion
4382,Yes,Am studying at home at my free time and practising what I learned from my text books
4383,Yes,Sometime if I have free time I do revise my books
4384,Yes,Reading notes
4385,Yes,"Reading notes, holiday packages and textbooks."
4386,Yes,"Reading holiday packages, notes and textbooks."
4387,Yes,Reading holiday peackages and borrowed notes from friends.
4388,Yes,Reading notes 
4389,,
4390,,
4391,Yes,I do revised my previous lessons
4392,,
4393,Yes,I do revised my previous lessons
4394,No,
4395,Yes,I do revised my previous lessons 
4396,,
4397,,
4398,Yes,Reading the books
4399,Yes,"Reading from the books
"
4400,,
4401,Yes,Reading from the books 
4402,Yes,Reading the books 
4403,,
4404,Yes,Reading
4405,No,
4406,No,
4407,Yes,Reading
4408,Yes,Reading
4409,,
4410,No,
4411,,
4412,No,
4413,Yes,Reading our books 
4414,No,
4415,,
4416,,
4417,,
4418,,
4419,,
4420,,
4421,,
4422,,
4423,,
4424,,
4425,,
4426,,
4427,,
4428,,
4429,,
4430,,
4431,No,
4432,,
4433,,
4434,No,
4435,Yes,Reading
4436,No,
4437,No,
4438,Yes,Reading
4439,No,
4440,No,
4441,No,
4442,No,
4443,Yes,Reading
4444,No,
4445,No,
4446,Yes,Reading old notes from previous exercise books.
4447,,
4448,Yes,Revising books 
4449,No,
4450,Yes,Revising books 
4451,,
4452,,
4453,Yes,Reviaing
4454,Yes,Revising
4455,,
4456,Yes,Revising
4457,Yes,Reading
4458,,
4459,,
4460,,
4461,,
4462,,
4463,,
4464,,
4465,,
4466,Yes,Reading books
4467,,
4468,,
4469,,
4470,,
4471,No,
4472,No,
4473,No,
4474,No,
4475,,
4476,No,
4477,No,
4478,No,
4479,No,
4480,No,
4481,,
4482,,
4483,,
4484,,
4485,,
4486,,
4487,No,
4488,No,
4489,No,
4490,Yes,Reading my previous books and text books
4491,No,
4492,No,
4493,Yes,Reading my books and text books 
4494,No,
4495,Yes,Self learning from the text books and revising old notes from my friends 
4496,No,
4497,Yes,The notes we got before closure of schools.
4498,,
4499,,
4500,No,
4501,,
4502,Yes,She is attending to a coaching done by a privately hired teacher.
4503,,
4504,,
4505,,
4506,Yes,My big brother is teaching me at home
4507,Yes,We are studying at home during our free time using our study packets
4508,Yes,We are studying and answering holiday packages for another school to keep me busy
4509,Yes,We are revising our books and comparing notes of different schools with my friends at home during our free time
4510,Yes,We are revising our books and my sister is normally helping me by assessing me in what I have read
4511,Yes,Revising and doing my holiday package assessment test after every one month
4512,Yes,We discussing in our focus group about education and sharing our experiences and self assessment exams
4513,Yes,Studying my books and past papers
4514,Yes,We revising at home with my brothers and sisters
4515,Yes,Reading my text books
4516,Yes,Reading my text book
4517,No,
4518,Yes,Reading on text books
4519,,
4520,,
4521,Yes,Revising the lessons in my text books
4522,Yes,Reading on text & ex. Books. 
4523,,
4524,No,
4525,No,
4526,,
4527,Yes,Cooking
4528,Yes,Garden work
4529,Yes,Washing clothes and weeding
4530,Yes,Digging and cleaning Compound
4531,Yes,Cooking and washing utensils
4532,Yes,Cooking
4533,Yes,Cooking and washing utensils
4534,Yes,Digging
4535,Yes,Digging
4536,Yes,Digging
4537,Yes,Digging
4538,Yes,Digging cassava garden
4539,Yes,Digging cassava garden
4540,Yes,Digging
4541,No,
4542,No,
4543,,
4544,,
4545,,
4546,,
4547,,
4548,,
4549,,
4550,,
4551,,
4552,Yes,Reading at home 
4553,No,
4554,Yes,Reading
4555,Yes,Reading CRE book
4556,,
4557,,
4558,,
4559,,
4560,,
4561,,
4562,,
4563,,
4564,Yes,Reading
4565,Yes,Reading
4566,No,
4567,No,
4568,Yes,Reading
4569,No,
4570,No,
4571,No,
4572,No,
4573,No,
4574,No,
4575,Yes,Play circle to learn spelling
4576,No,
4577,No,
4578,No,
4579,,
4580,Yes,Reading textbook
4581,No,
4582,,
4583,,
4584,,
4585,Yes,Reading
4586,No,
4587,No,
4588,No,
4589,No,
4590,Yes,Reading
4591,Yes,Reading
4592,No,
4593,Yes,Reading
4594,No,
4595,Yes,Reading
4596,No,
4597,No,
4598,No,
4599,No,
4600,No,
4601,No,
4602,No,
4603,No,
4604,No,
4605,Yes,Ready my book after lesson 
4606,,
4607,,
4608,No,
4609,No,
4610,,
4611,No,
4612,,
4613,,
4614,,
4615,,
4616,,
4617,No,
4618,No,
4619,,
4620,Yes,Doing revision
4621,No,
4622,Yes,Reading noted
4623,Yes,Revision of my books
4624,Yes,"Revision, balancing equation and doing some maths."
4625,No,
4626,Yes,Self reading
4627,No,
4628,,
4629,Yes,Reading
4630,No,
4631,No,
4632,,
4633,No,
4634,,
4635,No,
4636,No,
4637,No,
4638,No,
4639,No,
4640,No,
4641,No,
4642,No,
4643,No,
4644,No,
4645,No,
4646,,
4647,No,
4648,No,
4649,Yes,Cultivation and weeding
4650,No,
4651,No,
4652,,
4653,No,
4654,No,
4655,No,
4656,No,
4657,,
4658,No,
4659,Yes,Reading
4660,Yes,Reading and cultivation
4661,,
4662,No,
4663,,
4664,,
4665,No,
4666,No,
4667,Yes,Self reading
4668,No,
4669,No,
4670,No,
4671,No,
4672,No,
4673,,
4674,No,
4675,,
4676,Yes,Self reading
4677,No,
4678,No,
4679,No,
4680,No,
4681,No,
4682,,
4683,,
4684,No,
4685,Yes,I revise my notes.
4686,Yes,Discussion with my sister and brother since we are all secondary School students.
4687,Yes,I do revise my exercise books.
4688,Yes,Doing Maths with my brothers and even doing revision in other subjects.
4689,No,
4690,Yes,Doing Maths and reading
4691,Yes,Reading books
4692,No,
4693,Yes,Reading in the evening
4694,Yes,Reading
4695,Yes,Reading
4696,,
4697,,
4698,Yes,Reading books
4699,No,
4700,Yes,Reading books
4701,Yes,Domestic work at home
4702,Yes,Fetching water and cooking
4703,Yes,Cleaning compound
4704,Yes,Cleaning compound and Wash utensils
4705,,
4706,Yes,Cleaning compound and cooking food
4707,Yes,Washing utensils
4708,Yes,Reading books
4709,Yes,Reading books
4710,Yes,Reading text books
4711,Yes,Reading books
4712,Yes,Revision of my note books
4713,Yes,Reading books
4714,Yes,Revision at home
4715,Yes,Reading books
4716,Yes,Reading
4717,Yes,Reading textbook
4718,Yes,Reading textbook
4719,,
4720,,
4721,,
4722,,
4723,,
4724,,
4725,,
4726,,
