,"Q34_Are you doing other things at home to learn, aside from radio lessons?",Q35_What are you doing?
774,Yes,I have the text books.
775,,
776,,
777,,
778,,
779,,
780,,
781,Yes,"I cook ,Fetch water and even some I use to go the farm some time."
782,Yes,"Cooking ,digging at home."
783,Yes,Cooking and fetching water.
784,Yes,Cooking and fetching water.
785,,
786,Yes,Cooking andfetching water.
787,Yes,Digging in the farm
788,Yes,"Washing clothes, cooking fetching water."
789,Yes,Am supporting my parents.
790,Yes,Looking after cattle.
791,,
792,,
793,,
794,,
795,Yes,Reading texbooks and my note books at home
796,Yes,Reading texbooks
797,,
798,,
799,,
800,Yes,Reading text books
801,Yes,Reading text books
802,Yes,Reading text books
803,No,
804,Yes,"Harvesting, cooking and reading"
805,No,
806,No,
807,,
808,Yes,"Cooking, fetching water and fire wood."
809,,
810,Yes,Self studies
811,Yes,Studies
812,Yes,Group studies
813,Yes,Study
814,Yes,Studies
815,Yes,Studies
816,Yes,Studies
817,,
818,Yes,Studies
819,Yes,I engage myself in practicing the lessons I had in school.
820,,
821,,
822,,
823,Yes,I only revise my books at night 
824,Yes,I am only doing self study 
825,Yes,I only revise my books
826,No,
827,,
828,Yes,study  my old books  and other home work
829,Yes,concentrate on my old notices
830,Yes,Some times I  do  some numbers and read  stories book
831,No,
832,No,
833,,
834,,
835,,
836,,
837,,
838,Yes,Self studies.
839,,
840,,
841,,
842,,
843,Yes,He wants to keep the knowledge active because he feel that school will reopen .
844,,
845,Yes,I clean the compound and I work in the farm.
846,Yes,"Fetching water ,cooking and always clean the house."
847,Yes,"Fetch water ,washing clothes and cook."
848,Yes,Cooking and fetching water.
849,Yes,I dig in the farm .
850,Yes,Digging the compound.
851,,
852,Yes,Cooking and fetching water.
853,,
854,Yes,Domestic work
855,Yes,Cooking and washing clothes.
856,,
857,,
858,,
859,,
860,,
861,Yes,Digging the compound and keeping my goats.
862,No,
863,Yes,Reading some text books
864,Yes,Digging and look after goat.
865,No,
866,No,
867,,
868,,
869,Yes,Digging the compound and looking after our goats.
870,Yes,Study
871,Yes,Reading
872,Yes,Studies
873,Yes,Study books and do other research
874,No,
875,Yes,Group studies
876,Yes,Studies
877,Yes,Reading
878,,
879,,
880,,
881,Yes,I revise my notice
882,Yes,I revise my previous notice books
883,Yes,We sit in a group and discuss on the topic in a particular Subjects
884,No,
885,No,
886,,
887,,
888,,
889,,
890,,
891,,
892,,
893,No,
894,Yes,Reading books after coming back from the garden
895,Yes,Reading books
896,Yes,Reading notes
897,,
898,,
899,No,
900,No,
901,,
902,,
903,,
904,,
905,Yes,Cleaning the compound some time.
906,,
907,,
908,,
909,,
910,,
911,,
912,,
913,,
914,,
915,,
916,,
917,,
918,,
919,,
920,,
921,,
922,,
923,,
924,,
925,,
926,,
927,,
928,,
929,,
930,,
931,,
932,,
933,,
934,,
935,,
936,,
937,,
938,,
939,,
940,Yes,After being free I went and open the book study inside the house
941,,
942,Yes,Calculation of mathematics
943,Yes,Self studies.
944,Yes,Revision.
945,Yes,Self studies.
946,No,
947,Yes,Self studies.
948,,
949,,
950,Yes,She is doing some homework
951,Yes,Home work
952,,
953,Yes,Used of text book and exercise given during school time
954,Yes,Am doing some homework for example revision of my own book
955,,
956,Yes,Home work
957,,
958,No,
959,Yes,Wash utensils and cooking
960,No,
961,Yes,Harvest graunuts
962,,
963,Yes,Harvesting granuts
964,,
965,No,
966,,
967,,
968,,
969,,
970,,
971,,
972,,
973,,
974,,
975,,
976,,
977,,
978,,
979,,
980,,
981,,
982,,
983,,
984,,
985,,
986,,
987,,
988,,
989,,
